Epoch,Training,Validation
1,0.8743,0.8853
2,0.8852,0.8869
3,0.8887,0.8849
4,0.8911,0.8917
5,0.8935,0.8914
6,0.8944,0.8884
7,0.8957,0.8939
8,0.8967,0.8926
9,0.8972,0.8914
10,0.8981,0.8947
11,0.8994,0.8948
12,0.8997,0.8929
13,0.9004,0.8952
14,0.9014,0.8949
15,0.9017,0.8943
16,0.9028,0.8956
17,0.9033,0.9033
18,0.9046,0.893
19,0.9049,0.8931
20,0.9062,0.8881
21,0.9066,0.8945
22,0.9073,0.894
23,0.9081,0.8948
24,0.9088,0.8901
25,0.9097,0.8941
26,0.9101,0.8927
27,0.9111,0.8948
28,0.9124,0.893
29,0.9125,0.8919
30,0.914,0.8914
